"row" "State" "Gender" "Year" "Name" "Count"
"138" "CA" "M" 2003 "Kelly" 20
"139" "CA" "M" 2004 "Kelly" 17
"140" "CA" "M" 2005 "Kelly" 16
"141" "CA" "M" 2006 "Kelly" 20
"142" "CA" "M" 2007 "Kelly" 20
"143" "CA" "M" 2008 "Kelly" 13
"144" "CA" "M" 2009 "Kelly" 17
"145" "CA" "M" 2010 "Kelly" 16
"146" "CA" "M" 2011 "Kelly" 10
"147" "CA" "M" 2012 "Kelly" 9
"148" "CA" "M" 2013 "Kelly" 12
"149" "CA" "M" 2014 "Kelly" 18
"150" "CA" "M" 2015 "Kelly" 9
"151" "CA" "M" 2016 "Kelly" 16
