"","INSTNM","CITY","STABBR","ZIP","CONTROL","ADM_RATE","SAT_AVG","TUITIONFEE_IN","TUITIONFEE_OUT","UGDS","REGION","DEP_INC_PCT_H2","MD_INC_WDRAW_2YR_TRANS_YR4_RT","IND_COMP_4YR_TRANS_YR4_RT","SD_EARN_WNE_P10","FEMALE_WDRAW_4YR_TRANS_YR6_RT","LO_INC_COMP_2YR_TRANS_YR3_RT","NOLOAN_COMP_ORIG_YR4_RT","OPENADMP","PELL_COMP_4YR_TRANS_YR3_RT","DEATH_YR2_RT","NOLOAN_UNKN_ORIG_YR2_RT","NOT1STGEN_WDRAW_ORIG_YR6_RT","HI_INC_YR8_N","CUML_DEBT_P90","C100_L4"
"5308","LIU Riverhead","Riverhead","NY","11901-3499",2,"NULL","NULL","NULL","NULL","28",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5309","Columbia Southern University","Orange Beach","AL","36561-9000",3,"NULL","NULL","5415","5415","14945",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5310","Arizona Summit Law School","Phoenix","AZ","85004",3,"NULL","NULL","NULL","NULL","NULL",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5311","Arizona Culinary Institute","Scottsdale","AZ","85259",3,"NULL","NULL","NULL","NULL","30",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0517"
"5312","Healthcare Career College","Paramount","CA","90723-5258",3,"NULL","NULL","NULL","NULL","182",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6715"
"5313","Trident University International","Cypress","CA","90630-5041",3,"0.6799","NULL","9240","9240","3886",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5314","Coastline Beauty College","Fountain Valley","CA","92708",3,"NULL","NULL","NULL","NULL","170",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1143"
"5315","Eagle Rock College","Los Angeles","CA","90010",3,"NULL","NULL","NULL","NULL","63",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4561"
"5316","Montessori Casa International","Denver","CO","80230",2,"NULL","NULL","NULL","NULL","12",7,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5317","Branford Academy of Hair and Cosmetology","Branford","CT","6405",3,"NULL","NULL","NULL","NULL","22",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8182"
